Time,"elementCenter:0","elementCenter:1","elementCenter:2","temperature"
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
20000,nan,nan,nan,nan
